ID_Cliente,ID_FACTURA
0,13359
0,4690
0,6498
0,24517
0,9937
0,8982
0,6514
0,9501
0,24812
0,22702
0,22825
0,20318
0,12668
0,9796
0,7845
0,1090
0,6493
0,1538
0,13702
0,14947
0,15958
0,17969
0,10110
0,7868
0,16303
0,6298
0,1241
0,18180
0,11451
0,7388
0,14446
0,15876
0,1037
0,17769
0,24958
0,20816
0,6059
0,17061
0,24826
0,12181
0,15683
0,15383
0,3608
0,23800
0,5583
0,8175
0,14143
0,21878
0,14399
0,23824
0,8042
0,15664
0,13780
0,117
0,3310
0,2328
0,17324
0,16932
0,24825
0,14375
0,2845
0,756
0,15244
0,15538
0,9117
0,9992
0,24622
0,16494
0,2751
0,20987
0,14758
0,12725
0,8281
0,16209
0,5085
0,23713
0,4799
0,2850
0,7259
0,2364
0,6997
0,21132
0,3688
0,4482
0,408
0,10959
0,15174
0,1920
0,136
0,5065
0,13701
0,21165
0,24704
0,20938
0,22646
0,2910
0,21839
0,9229
0,1963
0,11049
0,23455
0,18030
0,11693
0,16405
0,3127
0,7922
0,10199
0,18964
0,22021
0,11094
0,15804
0,1418
0,18262
0,16665
0,7215
0,19476
0,17543
0,8393
0,21746
0,15888
0,14673
0,12646
0,11503
0,8146
0,17932
0,17781
0,13234
0,10106
0,20072
0,9762
0,22076
0,3131
0,18590
0,11660
0,2852
0,7119
0,1311
0,21082
0,7847
0,16624
0,21739
0,22925
0,14448
0,2486
0,4445
0,15905
0,6931
0,18581
0,2990
0,21487
0,17037
0,18831
0,20536
0,17201
0,18612
0,3100
0,13002
0,21116
0,24305
0,14942
0,23912
0,9232
0,11493
0,7151
0,3302
0,5375
0,22910
0,7502
0,9649
0,17046
0,9640
0,24869
0,10568
0,20633
0,2606
0,12479
0,1163
0,5991
0,14938
0,4275
0,13192
0,22243
0,16153
0,8828
0,8206
0,13200
0,14075
0,3454
0,7930
0,17617
0,22591
0,10806
0,9249
0,24232
0,11174
0,8427
0,19188
0,1412
0,13975
0,17995
0,18019
0,23005
0,15210
0,15477
0,3776
0,17480
0,18310
0,5108
0,19666
0,11751
0,1774
0,3109
0,12034
0,5768
0,9879
0,22227
0,231
0,12822
0,13974
0,19220
0,10068
0,17049
0,4533
0,1738
0,20705
0,23730
0,10112
0,18131
0,23749
0,4112
0,11487
0,20498
0,5562
0,20661
0,9952
0,3620
0,24336
0,11055
0,18435
0,16221
0,18147
0,7025
0,14104
0,17120
0,11374
0,22889
0,7311
0,18274
0,14237
0,17762
0,14878
0,11016
0,4707
0,3605
0,11294
0,7907
0,6042
0,6371
0,17578
0,7608
0,17403
0,24776
0,21420
0,23789
0,24998
0,7829
0,10987
0,382
0,14093
0,20044
0,19538
0,15615
0,2091
0,659
0,297
0,24526
0,12910
0,21397
0,21131
0,13172
0,5649
0,14839
0,14958
0,22848
0,3372
0,10612
0,11354
0,1682
0,14873
0,24550
0,1407
0,20688
